Toll Plaza Name,Latitude,Longitude
Aganampudi,17.6864348,83.1377658
Amakathadu,15.4966125,77.877554
Annampalli,16.6760635,82.14280409999999
Badava,16.4372451,81.7513551
Bandaplli,13.0660978,79.0825114
Bandlapalli,14.6160228,77.7734749
Basapuram,15.9349176,77.3065663
Bathalapalli,14.5148606,77.7675538
Bellupada,19.0276818,84.5654381
Bollapalli,16.1878832,79.6872439
Brahmanapalli,16.5168351,79.8306076
Buchireddypalem,14.5351281,79.8772834
Budhanam,14.0720731,79.8893294
Chagalmarri,14.9625969,78.5916452
Chapirevula,15.4548021,78.4346936
Chilakapalem,18.2709159,83.8036656
Chillakallu,16.8935957,80.13867139999999
Chinaganjam Toll Plaza,15.6929955,80.24185779999999
Chintalapalem,14.4583371,79.3855749
Chitimiti Chintala,22.4051443,85.9381197
Cholasamudram,14.7414526,77.3518241
Danamaiahgari palli,20.593684,78.96288
Davuluru,16.4191814,80.792095
DC PALLI,14.6875773,79.5034293
Dukkavanipalem,17.8844469,83.354895
Dumpalagattu Paatimeeda Palli,14.6133556,78.7646228
Durgamvaripalli,13.7142622,78.87318479999999
Eathakota,16.764104,82.1034593
Gadanki,13.4593207,79.16843329999999
Gantyada,18.1426384,83.29311129999999
Gollaprolu,17.1532881,82.2862828
Gorribanda,18.5968049,84.0551768
Goshtani,20.593684,78.96288
Halaharvi,15.8267656,77.4465074
Jallipalli,17.3741449,79.9675356
Jodi Dharampuram,14.96373,77.92135259999999
Jonnada,16.7968931,81.86204769999999
Kalaparru,16.6697377,81.01204969999999
Kasepalli,15.0497778,77.6428737
Kaza,32.2275991,78.07099029999999
Keesara,17.5280399,78.6540576
Korlaphadu,16.359825,81.2449515
Krishnavaram,17.204071,82.1196764
Laxmipuram,18.3796492,84.084783
Madapam,18.3761661,83.9969103
Mahasamudram,13.1805073,79.0094081
Main Toll (Panchvati),20.0095493,73.7918777
Marripalem,17.740063,83.251907
Marur,30.9635748,74.86387119999999
Medapi,16.0360131,79.49710329999999
Mekalavaripalli,13.7511874,78.9920953
Mopidevi Toll Plaza,16.0634313,80.9243584
Mudiveedu,13.7075719,78.5075126
